Region,PIB_pc,Lat,Lon
Madrid,38435,40.41,-3.7
Cataluña,32550,41.38,2.17
País Vasco,35833,43.26,-2.93
Andalucía,21091,37.38,-5.98
C. Valenciana,24473,39.47,-0.37
Galicia,25906,42.87,-8.54
C. y León,26992,41.65,-4.72
