Concepto,Fecha,Valor
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1719784800000,11.4
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1711922400000,8.4
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1704063600000,5.5
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1696111200000,7.5
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1688162400000,9.0
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1680300000000,4.7
Total Nacional. Vivienda nueva. Variación en lo que va de año. ,1672527600000,3.0
Total Nacional. Vivienda segunda mano. Índice. ,1759269600000,182.853
Total Nacional. Vivienda segunda mano. Índice. ,1751320800000,179.657
Total Nacional. Vivienda segunda mano. Índice. ,1743458400000,173.924
Total Nacional. Vivienda segunda mano. Índice. ,1735686000000,166.839
Total Nacional. Vivienda segunda mano. Índice. ,1727733600000,161.605
Total Nacional. Vivienda segunda mano. Índice. ,1719784800000,158.49
Total Nacional. Vivienda segunda mano. Índice. ,1711922400000,154.152
Total Nacional. Vivienda segunda mano. Índice. ,1704063600000,148.616
Total Nacional. Vivienda segunda mano. Índice. ,1696111200000,145.467
Total Nacional. Vivienda segunda mano. Índice. ,1688162400000,146.922
Total Nacional. Vivienda segunda mano. Índice. ,1680300000000,143.71
Total Nacional. Vivienda segunda mano. Índice. ,1672527600000,140.665
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1759269600000,1.8
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1751320800000,3.3
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1743458400000,4.2
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1735686000000,3.2
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1727733600000,2.0
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1719784800000,2.8
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1711922400000,3.7
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1704063600000,2.2
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1696111200000,-1.0
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1688162400000,2.2
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1680300000000,2.2
Total Nacional. Vivienda segunda mano. Variación trimestral. ,1672527600000,0.2
Total Nacional. Vivienda segunda mano. Variación anual. ,1759269600000,13.1
Total Nacional. Vivienda segunda mano. Variación anual. ,1751320800000,13.4
Total Nacional. Vivienda segunda mano. Variación anual. ,1743458400000,12.8
Total Nacional. Vivienda segunda mano. Variación anual. ,1735686000000,12.3
Total Nacional. Vivienda segunda mano. Variación anual. ,1727733600000,11.1
Total Nacional. Vivienda segunda mano. Variación anual. ,1719784800000,7.9
Total Nacional. Vivienda segunda mano. Variación anual. ,1711922400000,7.3
Total Nacional. Vivienda segunda mano. Variación anual. ,1704063600000,5.7
Total Nacional. Vivienda segunda mano. Variación anual. ,1696111200000,3.6
Total Nacional. Vivienda segunda mano. Variación anual. ,1688162400000,3.2
Total Nacional. Vivienda segunda mano. Variación anual. ,1680300000000,2.9
Total Nacional. Vivienda segunda mano. Variación anual. ,1672527600000,3.0
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1759269600000,13.1
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1751320800000,11.2
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1743458400000,7.6
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1735686000000,3.2
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1727733600000,11.1
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1719784800000,9.0
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1711922400000,6.0
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1704063600000,2.2
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1696111200000,3.6
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1688162400000,4.7
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1680300000000,2.4
Total Nacional. Vivienda segunda mano. Variación en lo que va de año. ,1672527600000,0.2
Andalucía. General. Índice. ,1759269600000,185.917
Andalucía. General. Índice. ,1751320800000,182.372
Andalucía. General. Índice. ,1743458400000,177.504
Andalucía. General. Índice. ,1735686000000,170.858
Andalucía. General. Índice. ,1727733600000,165.457
Andalucía. General. Índice. ,1719784800000,162.275
Andalucía. General. Índice. ,1711922400000,156.273
Andalucía. General. Índice. ,1704063600000,149.88
Andalucía. General. Índice. ,1696111200000,145.927
Andalucía. General. Índice. ,1688162400000,146.784
Andalucía. General. Índice. ,1680300000000,142.672
Andalucía. General. Índice. ,1672527600000,138.89
Andalucía. General. Variación trimestral. ,1759269600000,1.9
Andalucía. General. Variación trimestral. ,1751320800000,2.7
Andalucía. General. Variación trimestral. ,1743458400000,3.9
Andalucía. General. Variación trimestral. ,1735686000000,3.3
Andalucía. General. Variación trimestral. ,1727733600000,2.0
Andalucía. General. Variación trimestral. ,1719784800000,3.8
Andalucía. General. Variación trimestral. ,1711922400000,4.3
Andalucía. General. Variación trimestral. ,1704063600000,2.7
Andalucía. General. Variación trimestral. ,1696111200000,-0.6
Andalucía. General. Variación trimestral. ,1688162400000,2.9
Andalucía. General. Variación trimestral. ,1680300000000,2.7
Andalucía. General. Variación trimestral. ,1672527600000,0.2
Andalucía. General. Variación anual. ,1759269600000,12.4
Andalucía. General. Variación anual. ,1751320800000,12.4
Andalucía. General. Variación anual. ,1743458400000,13.6
Andalucía. General. Variación anual. ,1735686000000,14.0
Andalucía. General. Variación anual. ,1727733600000,13.4
Andalucía. General. Variación anual. ,1719784800000,10.6
Andalucía. General. Variación anual. ,1711922400000,9.5
Andalucía. General. Variación anual. ,1704063600000,7.9
Andalucía. General. Variación anual. ,1696111200000,5.3
Andalucía. General. Variación anual. ,1688162400000,5.8
Andalucía. General. Variación anual. ,1680300000000,4.5
Andalucía. General. Variación anual. ,1672527600000,4.2
Andalucía. General. Variación en lo que va de año. ,1759269600000,12.4
Andalucía. General. Variación en lo que va de año. ,1751320800000,10.2
Andalucía. General. Variación en lo que va de año. ,1743458400000,7.3
Andalucía. General. Variación en lo que va de año. ,1735686000000,3.3
Andalucía. General. Variación en lo que va de año. ,1727733600000,13.4
