periodo,anyo,trimestre,tasa_total,tasa_juvenil,fuente,updated
2021T19,2021,19,0.3,,INE/EPA,2026-04-05T14:08:48
2021T20,2021,20,0.1,,INE/EPA,2026-04-05T14:08:48
2021T21,2021,21,0.1,,INE/EPA,2026-04-05T14:08:48
2022T19,2022,19,0.2,,INE/EPA,2026-04-05T14:08:48
2022T20,2022,20,0.2,,INE/EPA,2026-04-05T14:08:48
2023T19,2023,19,0.1,,INE/EPA,2026-04-05T14:08:48
2023T20,2023,20,0.3,,INE/EPA,2026-04-05T14:08:48
2023T21,2023,21,0.5,,INE/EPA,2026-04-05T14:08:48
2023T22,2023,22,0.2,,INE/EPA,2026-04-05T14:08:48
